Symbol,CompanyName
AAPL, Apple Inc
MSFT, Microsoft Corporation
GOOGL, Alphabet Inc
FB, Facebook Inc
NVDA, NVIDIA Corporation
ORCL, Oracle Corporation
JNJ, Johnson & Johnson
UNH, United Health Group Incorporated
PFE, Pfizer Inc.
MRK, Merck & Company Inc
LLY, Eli Lilly and Company
DHR, Danaher Corporation
MA, Mastercard Incorporated
V, Visa Inc.
AMT, American Tower Corporation
WFC, Wells Fargo & Company
PLD, Prologis Inc.
EQIX, Equinix Inc.
AMZN, Amazon Inc
WMT, Walmart Inc
PG, Procter & Gamble Company
TSLA, Tesla Inc
KO, Coca-Cola Company
PEP, PesiCo Inc
